feature,importance
genre_drama,0.18913218
genre_horror,0.08420774
votes,0.054664336
runtimeMinutes,0.046671215
genre_biography,0.04647373
genre_action,0.046063155
genre_sci_fi,0.040314995
genre_crime,0.02812824
log1p_votes,0.02536476
genre_adventure,0.023486223
genre_mystery,0.021083249
genre_comedy,0.020571724
genre_fantasy,0.020075927
unique_words,0.018649545
avg_word_length,0.018622817
gzip_bits_per_byte,0.018505633
log1p_unique_words,0.017118929
avg_words_per_segment,0.01605424
word_entropy_x_segments,0.015841912
bigram_entropy,0.015834235
genre_thriller,0.015815431
lzma_bits_per_byte,0.01452657
entropy_x_words,0.01428327
trigram_entropy,0.0141032655
year,0.013981723
gzip_ratio,0.013175327
clean_text_words,0.013146546
lzma_ratio,0.012843587
clean_text_length,0.01275615
word_entropy,0.012225053
vocabulary_richness,0.012177848
bz2_ratio,0.0117877815
log1p_clean_text_words,0.011774881
segment_count,0.011052836
log1p_segment_count,0.011049927
log1p_clean_text_length,0.0109510925
char_entropy,0.010401337
genre_romance,0.009120248
bz2_bits_per_byte,0.007962355
