feature,importance
votes,0.20619178837572752
runtimeMinutes,0.15961968532457685
genre_drama,0.14555934284565764
log1p_votes,0.10927313719478539
genre_horror,0.04393365059457576
genre_action,0.04014174145414364
avg_word_length,0.03498160451223151
bigram_entropy,0.029349388465648957
avg_words_per_segment,0.024107595286837626
genre_sci_fi,0.019335178684571557
char_entropy,0.018786743806480627
year,0.01645152792608758
log1p_unique_words,0.015415718555382442
unique_words,0.015129553833393978
word_entropy_x_segments,0.014181948875618064
genre_adventure,0.009246654909054181
gzip_bits_per_byte,0.008808594122887323
genre_biography,0.008145721011960464
trigram_entropy,0.007817569886595752
genre_comedy,0.007675989432447407
vocabulary_richness,0.007275931843661259
genre_crime,0.007109291747905989
genre_fantasy,0.006584450028555068
word_entropy,0.006169647597686218
lzma_ratio,0.006054575473002022
entropy_x_words,0.004414495152873216
genre_mystery,0.004398419633649493
clean_text_words,0.004287616269468062
segment_count,0.004232642102855214
log1p_segment_count,0.0029948477918594865
gzip_ratio,0.0026056531641802296
clean_text_length,0.0025794882583232786
bz2_bits_per_byte,0.002446733479372986
bz2_ratio,0.0012667635169194777
genre_thriller,0.0010881586463430983
lzma_bits_per_byte,0.00074293456115624
log1p_clean_text_words,0.0007270892092483045
log1p_clean_text_length,0.000566350840160272
genre_romance,0.00030177558411593694
