imdb_id,title,original_title,year,runtimeMinutes,genres,rating,votes
tt0111161,The Shawshank Redemption,The Shawshank Redemption,1994,142,Drama,9.3,3174612
tt0468569,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama",9.1,3153699
tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,2803437
tt0137523,Fight Club,Fight Club,1999,139,"Crime,Drama,Thriller",8.8,2592463
tt0816692,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7,2507039
tt0109830,Forrest Gump,Forrest Gump,1994,142,"Drama,Romance",8.8,2485460
tt0110912,Pulp Fiction,Pulp Fiction,1994,154,"Crime,Drama",8.8,2425859
tt0133093,The Matrix,The Matrix,1999,136,"Action,Sci-Fi",8.7,2238067
tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2198062
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy",9.0,2156580
tt0114369,Seven,Se7en,1995,127,"Crime,Drama,Mystery",8.6,2011296
tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164,"Action,Crime,Drama",8.4,1986029
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy",8.8,1949216
tt1853728,Django Unchained,Django Unchained,2012,165,"Drama,Western",8.5,1874802
tt0172495,Gladiator,Gladiator,2000,155,"Action,Adventure,Drama",8.5,1841168
tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",8.2,1777211
tt0361748,Inglourious Basterds,Inglourious Basterds,2009,153,"Adventure,Drama,War",8.4,1774585
tt0102926,The Silence of the Lambs,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",8.6,1715372
tt0372784,Batman Begins,Batman Begins,2005,140,"Action,Crime,Drama",8.2,1707200
