imdb_id,title,original_title,year,runtimeMinutes,genres,rating,votes,subtitle_segments,subtitle_duration_seconds,subtitle_text_chars,subtitle_text_words,has_subtitle
tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,2803437,5226,12515.427000000007,191724,36741,True
tt0109830,Forrest Gump,Forrest Gump,1994,142,"Drama,Romance",8.8,2485460,6273,13991.892000000007,184752,34206,True
tt0114369,Seven,Se7en,1995,127,"Crime,Drama,Mystery",8.6,2011296,4644,11050.158000000025,159663,30045,True
tt0361748,Inglourious Basterds,Inglourious Basterds,2009,153,"Adventure,Drama,War",8.4,1774585,1179,3463.3939999999916,39428,7441,True
tt0102926,The Silence of the Lambs,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",8.6,1715372,3618,9078.585000000023,123477,23184,True
tt0848228,The Avengers,The Avengers,2012,143,"Action,Sci-Fi",8.0,1553079,27,67.88700000000028,714,138,True
tt0120382,The Truman Show,The Truman Show,1998,103,"Comedy,Drama",8.2,1364781,1364,5828.11399999999,58440,11516,True
tt0264464,Catch Me If You Can,Catch Me If You Can,2002,141,"Biography,Crime,Drama",8.1,1230055,1766,4034.087999999999,63464,12451,True
tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",8.1,1202529,2046,5300.5200000000095,59490,11793,True
tt0477348,No Country for Old Men,No Country for Old Men,2007,122,"Crime,Drama,Thriller",8.2,1183519,2910,7197.726000000002,103722,20838,True
tt0114709,Toy Story,Toy Story,1995,81,"Adventure,Animation,Comedy",8.3,1169192,4158,10730.62799999999,142320,25626,True
tt2267998,Gone Girl,Gone Girl,2014,149,"Drama,Mystery,Thriller",8.1,1163991,7665,15218.109000000053,247083,45894,True
tt0167404,The Sixth Sense,The Sixth Sense,1999,107,"Drama,Mystery,Thriller",8.2,1140355,864,2485.493000000003,27540,5456,True
tt0198781,"Monsters, Inc.","Monsters, Inc.",2001,92,"Adventure,Animation,Comedy",8.1,1070744,1392,2943.6990000000037,46473,8829,True
tt0253474,The Pianist,The Pianist,2002,150,"Biography,Drama,Music",8.5,1008541,861,2473.1589999999933,30734,5880,True
tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",7.3,996565,5586,10564.647000000004,166938,31236,True
tt0180093,Requiem for a Dream,Requiem for a Dream,2000,102,Drama,8.3,970419,3537,8084.946000000014,120024,22818,True
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi",6.9,963749,1211,2613.8000000000084,40586,7553,True
tt0245429,Spirited Away,Sen to Chihiro no kamikakushi,2001,124,"Adventure,Animation,Family",8.6,961960,2626,7573.020000000011,78298,15320,True
tt0241527,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy",7.7,948123,3915,14158.89599999988,154758,28971,True
tt1392214,Prisoners,Prisoners,2013,153,"Crime,Drama,Mystery",8.2,929212,1354,3424.053999999993,48440,9466,True
tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169,"Adventure,Fantasy",7.8,925336,3966,9119.119999999968,115502,21924,True
tt0120915,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,1999,136,"Action,Adventure,Fantasy",6.5,923001,1444,3471.638999999989,49088,9173,True
tt0118715,The Big Lebowski,The Big Lebowski,1998,117,"Comedy,Crime",8.1,914743,3266,9080.568000000014,111908,21612,True
tt0416449,300,300,2006,117,"Action,Drama",7.6,910187,2868,8271.53099999994,111240,18279,True
tt0246578,Donnie Darko,Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",8.0,909151,3132,11158.149000000007,127770,24360,True
tt1010048,Slumdog Millionaire,Slumdog Millionaire,2008,120,"Crime,Drama,Romance",8.0,908823,2002,5441.0539999999955,58430,10510,True
tt0317705,The Incredibles,The Incredibles,2004,115,"Action,Adventure,Animation",8.0,896762,1326,3453.572999999995,45597,8991,True
tt1211837,Doctor Strange,Doctor Strange,2016,115,"Action,Adventure,Fantasy",7.5,876234,3957,7303.443000000047,110112,20382,True
tt2084970,The Imitation Game,The Imitation Game,2014,114,"Biography,Drama,Thriller",8.0,875502,1333,3682.589999999995,52036,9874,True
tt1205489,Gran Torino,Gran Torino,2008,116,Drama,8.1,859831,2850,7860.898000000003,110542,22040,True
tt2543164,Arrival,Arrival,2016,116,"Drama,Mystery,Sci-Fi",7.9,859015,1246,2463.26300000001,43101,7179,True
tt0121765,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,2002,142,"Action,Adventure,Fantasy",6.6,817377,2438,5953.5279999999875,83696,15838,True
tt5052448,Get Out,Get Out,2017,104,"Horror,Mystery,Thriller",7.8,812613,3621,7923.719999999934,108711,21432,True
tt0126029,Shrek,Shrek,2001,90,"Adventure,Animation,Comedy",7.9,807461,4059,12092.741999999986,148638,29178,True
tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,2014,132,"Action,Adventure,Sci-Fi",7.9,786295,4203,7985.495999999993,121476,23049,True
tt2024544,12 Years a Slave,12 Years a Slave,2013,134,"Biography,Drama,History",8.1,784663,1393,2985.1040000000007,41734,8056,True
tt1981115,Thor: The Dark World,Thor: The Dark World,2013,112,"Action,Adventure,Fantasy",6.7,775062,1138,2310.0439999999976,40471,6323,True
tt2802144,Kingsman: The Secret Service,Kingsman: The Secret Service,2014,129,"Action,Adventure,Comedy",7.7,774478,1703,3410.665000000009,55343,10176,True
tt0295297,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002,161,"Adventure,Family,Fantasy",7.5,763346,3326,10433.831999999999,124464,23212,True
tt3783958,La La Land,La La Land,2016,128,"Comedy,Drama,Music",8.0,757946,1135,1865.513000000004,32861,6426,True
tt1386697,Suicide Squad,Suicide Squad,2016,123,"Action,Adventure,Fantasy",5.9,757932,4521,8846.00400000003,131106,25917,True
tt1136608,District 9,District 9,2009,112,"Action,Sci-Fi,Thriller",7.9,751050,1426,3573.400000000007,53453,10152,True
tt0421715,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,2008,166,"Drama,Fantasy,Romance",7.8,743014,3602,9562.740000000018,127140,25178,True
tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy",7.2,741738,4935,13135.647000000077,154431,29631,True
tt3460252,The Hateful Eight,The Hateful Eight,2015,168,"Crime,Drama,Mystery",7.8,720032,3554,10824.46600000005,133320,26380,True
tt0469494,There Will Be Blood,There Will Be Blood,2007,158,Drama,8.2,705513,3939,10886.489999999925,188715,32967,True
tt0373889,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,2007,138,"Action,Adventure,Family",7.5,697182,3531,10783.758000000002,143928,25890,True
tt0440963,The Bourne Ultimatum,The Bourne Ultimatum,2007,115,"Action,Mystery,Thriller",8.0,682873,3426,7151.184000000021,116400,21309,True
tt0114746,12 Monkeys,Twelve Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",8.0,678376,4875,16760.78999999992,188562,35637,True
tt2119532,Hacksaw Ridge,Hacksaw Ridge,2016,139,"Biography,Drama,History",8.1,677080,1265,3102.195999999986,43962,8696,True
tt0240772,Ocean's Eleven,Ocean's Eleven,2001,116,"Crime,Thriller",7.7,671190,3092,7665.716000000017,113522,21028,True
tt2872718,Nightcrawler,Nightcrawler,2014,117,"Crime,Drama,Thriller",7.8,665988,3862,7185.106000000002,126198,23094,True
tt1024648,Argo,Argo,2012,120,"Biography,Drama,History",7.7,665182,4290,7769.1150000000025,123063,24198,True
tt0119654,Men in Black,Men in Black,1997,98,"Action,Adventure,Comedy",7.3,661825,2554,5989.528000000019,90178,16730,True
tt0120735,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1998,107,"Comedy,Crime",8.1,648962,1458,3648.262000000004,54153,10980,True
tt1219289,Limitless,Limitless,2011,105,"Sci-Fi,Thriller",7.4,645579,2422,6071.471999999982,98544,18424,True
tt0116629,Independence Day,Independence Day,1996,145,"Action,Adventure,Sci-Fi",7.0,645177,5178,12978.28799999995,193329,35970,True
