year,avg_rating,median_rating,movie_count
1990,6.546218487394958,6.5,119
1991,6.619130434782609,6.7,115
1992,6.653030303030303,6.75,132
1993,6.725352112676056,6.8,142
1994,6.550955414012739,6.6,157
1995,6.659119496855346,6.7,159
1996,6.508982035928144,6.5,167
1997,6.56860465116279,6.65,172
1998,6.661581920903954,6.7,177
1999,6.604663212435233,6.7,193
2000,6.456930693069307,6.6,202
2001,6.5425339366515844,6.5,221
2002,6.498319327731092,6.6,238
2003,6.5035398230088495,6.6,226
2004,6.606273062730627,6.7,271
2005,6.5076086956521735,6.6,276
2006,6.484735202492211,6.6,321
2007,6.489634146341463,6.6,328
2008,6.4358433734939755,6.5,332
2009,6.405105105105106,6.5,333
2010,6.488785046728972,6.5,321
2011,6.4460227272727275,6.5,352
2012,6.436283185840709,6.4,339
2013,6.487830687830688,6.5,378
2014,6.471,6.5,400
2015,6.486449864498645,6.6,369
2016,6.540920716112532,6.6,391
2017,6.401288659793814,6.5,388
2018,6.441904761904762,6.55,420
2019,6.488235294117647,6.6,391
2020,6.176848874598071,6.3,311
2021,6.3772594752186595,6.5,343
2022,6.406100795755968,6.5,377
2023,6.391644204851753,6.5,371
2024,6.329113924050633,6.3,316
2025,6.279061371841155,6.4,277
2026,6.182857142857143,6.4,35
