year,avg_rating,median_rating,movie_count
1990,6.525,6.75,20
1991,6.733333333333333,6.6,15
1992,6.7299999999999995,6.5,20
1993,6.5360000000000005,6.5,25
1994,6.345945945945946,6.6,37
1995,6.928571428571429,6.95,28
1996,6.770588235294118,6.95,34
1997,6.753333333333333,6.8,45
1998,6.525581395348838,6.7,43
1999,6.4941176470588236,6.6,34
2000,6.766666666666667,6.9,30
2001,6.626190476190477,6.65,42
2002,6.5183333333333335,6.6,60
2003,6.061538461538461,6.2,39
2004,6.8023255813953485,7.0,43
2005,6.532558139534883,6.6,43
2006,6.626470588235295,6.8,34
2007,6.56,6.6,80
2008,6.432894736842105,6.5,76
2009,6.238271604938272,6.3,81
2010,6.493877551020408,6.6,49
2011,6.575757575757576,6.6,66
2012,6.576470588235294,6.6,68
2013,6.555072463768116,6.4,69
2014,6.539784946236559,6.5,93
2015,6.465432098765433,6.4,81
2016,6.569662921348315,6.7,89
2017,6.279166666666666,6.55,24
